time,V(vc)
0.000000000000000e+00,0.000000e+00
1.000000000000000e-12,5.001000e-09
1.425254878815073e-06,1.424232e-02
2.850508757630145e-06,2.846442e-02
4.275762636445218e-06,4.266631e-02
5.701016515260291e-06,5.684799e-02
7.126270394075364e-06,7.100945e-02
8.551524272890434e-06,8.515071e-02
9.976778151705504e-06,9.927174e-02
9.986778151705504e-06,9.937076e-02
2.022677815170625e-05,2.002359e-01
3.046677815170788e-05,3.000734e-01
4.070677815170952e-05,3.988939e-01
5.094677815171115e-05,4.967075e-01
6.118677815171268e-05,5.935247e-01
7.142677815170738e-05,6.893555e-01
8.166677815170208e-05,7.842100e-01
9.190677815169678e-05,8.780982e-01
1.021467781516915e-04,9.710298e-01
1.123867781516862e-04,1.063015e+00
1.226267781516809e-04,1.154063e+00
1.328667781516756e-04,1.244183e+00
1.431067781516703e-04,1.333385e+00
1.533467781516650e-04,1.421678e+00
1.635867781516597e-04,1.509072e+00
1.738267781516544e-04,1.595575e+00
1.840667781516491e-04,1.681198e+00
1.943067781516438e-04,1.765947e+00
2.045467781516385e-04,1.849834e+00
2.147867781516331e-04,1.932866e+00
2.250267781516278e-04,2.015052e+00
2.352667781516225e-04,2.096400e+00
2.455067781516172e-04,2.176920e+00
2.557467781516119e-04,2.256620e+00
2.659867781516066e-04,2.335507e+00
2.762267781516013e-04,2.413591e+00
2.864667781515960e-04,2.490880e+00
2.967067781515907e-04,2.567381e+00
3.069467781515854e-04,2.643102e+00
3.171867781515801e-04,2.718053e+00
3.274267781515748e-04,2.792239e+00
3.376667781515695e-04,2.865670e+00
3.479067781515642e-04,2.938353e+00
3.581467781515589e-04,3.010295e+00
3.683867781515536e-04,3.081505e+00
3.786267781515483e-04,3.151989e+00
3.888667781515430e-04,3.221754e+00
3.991067781515377e-04,3.290809e+00
4.093467781515324e-04,3.359161e+00
4.195867781515271e-04,3.426816e+00
4.298267781515218e-04,3.493782e+00
4.400667781515165e-04,3.560066e+00
4.503067781515112e-04,3.625674e+00
4.605467781515059e-04,3.690614e+00
4.707867781515006e-04,3.754893e+00
4.810267781514953e-04,3.818516e+00
4.912667781515062e-04,3.881492e+00
5.015067781515564e-04,3.943825e+00
5.117467781516066e-04,4.005524e+00
5.219867781516568e-04,4.066595e+00
5.322267781517070e-04,4.127043e+00
5.424667781517572e-04,4.186875e+00
5.527067781518075e-04,4.246098e+00
5.629467781518577e-04,4.304717e+00
5.731867781519079e-04,4.362739e+00
5.834267781519581e-04,4.420170e+00
5.936667781520083e-04,4.477016e+00
6.039067781520585e-04,4.533283e+00
6.141467781521087e-04,4.588976e+00
6.243867781521589e-04,4.644103e+00
6.346267781522091e-04,4.698667e+00
6.448667781522593e-04,4.752676e+00
6.551067781523095e-04,4.806134e+00
6.653467781523598e-04,4.859048e+00
6.755867781524100e-04,4.911423e+00
6.858267781524602e-04,4.963264e+00
6.960667781525104e-04,5.014577e+00
7.063067781525606e-04,5.065367e+00
7.165467781526108e-04,5.115640e+00
7.267867781526610e-04,5.165401e+00
7.370267781527112e-04,5.214654e+00
7.472667781527614e-04,5.263406e+00
7.575067781528116e-04,5.311661e+00
7.677467781528618e-04,5.359425e+00
7.779867781529120e-04,5.406702e+00
7.882267781529623e-04,5.453497e+00
7.984667781530125e-04,5.499816e+00
8.087067781530627e-04,5.545662e+00
8.189467781531129e-04,5.591043e+00
8.291867781531631e-04,5.635960e+00
8.394267781532133e-04,5.680419e+00
8.496667781532635e-04,5.724426e+00
8.599067781533137e-04,5.767985e+00
8.701467781533639e-04,5.811100e+00
8.803867781534141e-04,5.853775e+00
8.906267781534643e-04,5.896016e+00
9.008667781535146e-04,5.937826e+00
9.111067781535648e-04,5.979210e+00
9.213467781536150e-04,6.020173e+00
9.315867781536652e-04,6.060719e+00
9.418267781537154e-04,6.100851e+00
9.520667781537656e-04,6.140574e+00
9.623067781538158e-04,6.179893e+00
9.725467781538660e-04,6.218812e+00
9.827867781538487e-04,6.257334e+00
9.930267781537879e-04,6.295463e+00
1.003266778153727e-03,6.333204e+00
1.013506778153666e-03,6.370560e+00
1.023746778153605e-03,6.407536e+00
1.033986778153545e-03,6.444135e+00
1.044226778153484e-03,6.480361e+00
1.054466778153423e-03,6.516219e+00
1.064706778153362e-03,6.551711e+00
1.074946778153301e-03,6.586841e+00
1.085186778153241e-03,6.621613e+00
1.095426778153180e-03,6.656031e+00
1.105666778153119e-03,6.690099e+00
1.115906778153058e-03,6.723819e+00
1.126146778152997e-03,6.757196e+00
1.136386778152936e-03,6.790233e+00
1.146626778152876e-03,6.822933e+00
1.156866778152815e-03,6.855300e+00
1.167106778152754e-03,6.887338e+00
1.177346778152693e-03,6.919049e+00
1.187586778152632e-03,6.950437e+00
1.197826778152572e-03,6.981505e+00
1.208066778152511e-03,7.012257e+00
1.218306778152450e-03,7.042695e+00
1.228546778152389e-03,7.072824e+00
1.238786778152328e-03,7.102645e+00
1.249026778152268e-03,7.132163e+00
1.259266778152207e-03,7.161379e+00
1.269506778152146e-03,7.190298e+00
1.279746778152085e-03,7.218923e+00
1.289986778152024e-03,7.247256e+00
1.300226778151963e-03,7.275300e+00
1.310466778151903e-03,7.303059e+00
1.320706778151842e-03,7.330534e+00
1.330946778151781e-03,7.357730e+00
1.341186778151720e-03,7.384649e+00
1.351426778151659e-03,7.411294e+00
1.361666778151599e-03,7.437666e+00
1.371906778151538e-03,7.463771e+00
1.382146778151477e-03,7.489610e+00
1.392386778151416e-03,7.515185e+00
1.402626778151355e-03,7.540499e+00
1.412866778151295e-03,7.565556e+00
1.423106778151234e-03,7.590358e+00
1.433346778151173e-03,7.614906e+00
1.443586778151112e-03,7.639205e+00
1.453826778151051e-03,7.663257e+00
1.464066778150990e-03,7.687063e+00
1.474306778150930e-03,7.710626e+00
1.484546778150869e-03,7.733950e+00
1.494786778150808e-03,7.757036e+00
1.505026778150747e-03,7.779887e+00
1.515266778150686e-03,7.802505e+00
1.525506778150626e-03,7.824892e+00
1.535746778150565e-03,7.847052e+00
1.545986778150504e-03,7.868985e+00
1.556226778150443e-03,7.890696e+00
1.566466778150382e-03,7.912184e+00
1.576706778150322e-03,7.933455e+00
1.586946778150261e-03,7.954508e+00
1.597186778150200e-03,7.975347e+00
1.607426778150139e-03,7.995974e+00
1.617666778150078e-03,8.016390e+00
1.627906778150017e-03,8.036599e+00
1.638146778149957e-03,8.056602e+00
1.648386778149896e-03,8.076400e+00
1.658626778149835e-03,8.095998e+00
1.668866778149774e-03,8.115395e+00
1.679106778149713e-03,8.134595e+00
