time	V(vc)
0.000000000000000e+00	0.000000e+00
1.000000000000000e-12	5.001000e-09
2.673998225978887e-05	2.633145e-01
5.347996351957774e-05	5.201364e-01
8.021994477936660e-05	7.704660e-01
1.069599260391555e-04	1.014303e+00
1.336999072989443e-04	1.251648e+00
1.604398885587332e-04	1.482500e+00
1.871798698185220e-04	1.706859e+00
2.557512983899507e-04	2.251033e+00
3.243227269613795e-04	2.764363e+00
3.928941555328082e-04	3.246850e+00
4.614655841042370e-04	3.698493e+00
5.300370126756658e-04	4.119293e+00
5.986084412470945e-04	4.509250e+00
6.671798698185230e-04	4.868363e+00
7.586084412470948e-04	5.309266e+00
8.500370126756664e-04	5.718714e+00
9.414655841042381e-04	6.096708e+00
1.032894155532810e-03	6.443248e+00
1.124322726961381e-03	6.758333e+00
1.215751298389953e-03	7.041964e+00
1.307179869818525e-03	7.294141e+00
1.398608441247096e-03	7.526624e+00
1.490037012675668e-03	7.742523e+00
1.581465584104240e-03	7.941835e+00
1.672894155532811e-03	8.124562e+00
1.764322726961383e-03	8.290703e+00
1.855751298389955e-03	8.440259e+00
1.947179869818526e-03	8.573229e+00
2.038608441247098e-03	8.695815e+00
2.130037012675670e-03	8.809655e+00
2.221465584104241e-03	8.914751e+00
2.312894155532813e-03	9.011101e+00
2.404322726961385e-03	9.098705e+00
2.495751298389956e-03	9.177564e+00
2.587179869818528e-03	9.247678e+00
2.678608441247099e-03	9.312316e+00
2.770037012675671e-03	9.372344e+00
2.861465584104243e-03	9.427760e+00
2.952894155532815e-03	9.478564e+00
3.044322726961386e-03	9.524757e+00
3.135751298389958e-03	9.566339e+00
3.227179869818529e-03	9.603309e+00
3.318608441247101e-03	9.637392e+00
3.410037012675673e-03	9.669043e+00
3.501465584104245e-03	9.698264e+00
3.592894155532816e-03	9.725052e+00
3.684322726961388e-03	9.749409e+00
3.775751298389959e-03	9.771335e+00
3.867179869818531e-03	9.790829e+00
3.958608441247099e-03	9.808801e+00
4.050037012675667e-03	9.825490e+00
4.141465584104235e-03	9.840898e+00
4.232894155532803e-03	9.855023e+00
4.324322726961371e-03	9.867866e+00
4.415751298389939e-03	9.879427e+00
4.507179869818506e-03	9.889706e+00
4.598608441247074e-03	9.899182e+00
4.690037012675642e-03	9.907982e+00
4.781465584104210e-03	9.916107e+00
4.872894155532778e-03	9.923555e+00
4.964322726961345e-03	9.930327e+00
5.055751298389912e-03	9.936423e+00
5.147179869818480e-03	9.941843e+00
5.238608441247048e-03	9.946840e+00
5.330037012675616e-03	9.951480e+00
5.421465584104184e-03	9.955764e+00
5.512894155532752e-03	9.959691e+00
5.604322726961319e-03	9.963262e+00
5.695751298389886e-03	9.966477e+00
5.787179869818454e-03	9.969335e+00
5.878608441247022e-03	9.971969e+00
5.970037012675590e-03	9.974416e+00
6.061465584104158e-03	9.976675e+00
6.152894155532725e-03	9.978746e+00
6.244322726961292e-03	9.980628e+00
6.335751298389860e-03	9.982323e+00
6.427179869818428e-03	9.983830e+00
6.518608441246996e-03	9.985220e+00
6.610037012675564e-03	9.986510e+00
6.701465584104132e-03	9.987701e+00
6.792894155532699e-03	9.988793e+00
6.884322726961266e-03	9.989786e+00
6.975751298389834e-03	9.990680e+00
7.067179869818402e-03	9.991474e+00
7.160037012675541e-03	9.992217e+00
7.252894155532680e-03	9.992907e+00
7.345751298389819e-03	9.993542e+00
7.438608441246958e-03	9.994125e+00
7.531465584104098e-03	9.994653e+00
7.624322726961237e-03	9.995128e+00
7.717179869818376e-03	9.995549e+00
7.812894155532657e-03	9.995948e+00
7.908608441246939e-03	9.996318e+00
8.004322726961222e-03	9.996658e+00
8.100037012675504e-03	9.996968e+00
8.195751298389786e-03	9.997249e+00
8.291465584104067e-03	9.997501e+00
8.387179869818349e-03	9.997723e+00
8.485751298389774e-03	9.997932e+00
8.584322726961198e-03	9.998126e+00
8.682894155532623e-03	9.998304e+00
8.781465584104047e-03	9.998466e+00
8.880037012675472e-03	9.998613e+00
8.978608441246897e-03	9.998743e+00
9.077179869818321e-03	9.998857e+00
9.182894155532603e-03	9.998970e+00
9.288608441246883e-03	9.999073e+00
9.394322726961165e-03	9.999168e+00
9.500037012675447e-03	9.999253e+00
9.605751298389729e-03	9.999329e+00
9.711465584104009e-03	9.999396e+00
9.817179869818291e-03	9.999454e+00
9.887179869818288e-03	9.999492e+00
9.994359738636566e-03	9.999543e+00
1.000000000000000e-02	9.999546e+00
