time	V(vc)
0.000000000000000e+00	0.000000e+00
6.399999887690688e-13	4.616649e-09
9.641555124701507e-13	9.573117e-09
1.253443012230169e-12	1.500927e-08
1.628133590038095e-12	2.247383e-08
1.002497674375513e-06	2.003990e-02
2.026497674375589e-06	4.048890e-02
3.050497674375666e-06	6.091698e-02
4.074497674375633e-06	8.132415e-02
5.098497674375276e-06	1.017104e-01
6.122497674374920e-06	1.220759e-01
7.146497674374563e-06	1.424204e-01
8.170497674374665e-06	1.627442e-01
9.194497674375176e-06	1.830471e-01
1.021849767437569e-05	2.033293e-01
1.124249767437620e-05	2.235907e-01
1.226649767437671e-05	2.438314e-01
1.329049767437722e-05	2.640514e-01
1.431449767437773e-05	2.842506e-01
1.533849767437811e-05	3.044292e-01
1.636249767437688e-05	3.245872e-01
1.738649767437566e-05	3.447245e-01
1.841049767437443e-05	3.648412e-01
1.943449767437321e-05	3.849373e-01
2.045849767437199e-05	4.050128e-01
2.148249767437076e-05	4.250678e-01
2.250649767436954e-05	4.451023e-01
2.353049767436831e-05	4.651163e-01
2.455449767436709e-05	4.851097e-01
2.557849767436586e-05	5.050828e-01
2.660249767436464e-05	5.250354e-01
2.762649767436342e-05	5.449675e-01
2.865049767436219e-05	5.648792e-01
2.967449767436097e-05	5.847706e-01
3.069849767436036e-05	6.046417e-01
3.172249767436260e-05	6.244923e-01
3.274649767436485e-05	6.443227e-01
3.377049767436709e-05	6.641328e-01
3.479449767436934e-05	6.839226e-01
3.581849767437158e-05	7.036921e-01
3.684249767437383e-05	7.234414e-01
3.786649767437607e-05	7.431705e-01
3.889049767437832e-05	7.628794e-01
3.991449767438057e-05	7.825682e-01
4.093849767438281e-05	8.022367e-01
4.196249767438506e-05	8.218852e-01
4.298649767438730e-05	8.415135e-01
4.401049767438955e-05	8.611218e-01
4.503449767439179e-05	8.807099e-01
4.605849767439404e-05	9.002781e-01
4.708249767439628e-05	9.198261e-01
4.810649767439853e-05	9.393543e-01
4.913049767440077e-05	9.588624e-01
5.015449767440302e-05	9.783505e-01
5.117849767440526e-05	9.978187e-01
5.220249767440751e-05	1.017267e+00
5.322649767440975e-05	1.036695e+00
5.425049767441200e-05	1.056104e+00
5.527449767441425e-05	1.075493e+00
5.629849767441649e-05	1.094861e+00
5.732249767441874e-05	1.114210e+00
5.834649767442098e-05	1.133539e+00
5.937049767442323e-05	1.152849e+00
6.039449767442547e-05	1.172138e+00
6.141849767442771e-05	1.191408e+00
6.244249767442996e-05	1.210658e+00
6.346649767443220e-05	1.229889e+00
6.449049767443445e-05	1.249099e+00
6.551449767443669e-05	1.268291e+00
6.653849767443894e-05	1.287462e+00
6.756249767444118e-05	1.306614e+00
6.858649767444343e-05	1.325746e+00
6.961049767444567e-05	1.344859e+00
7.063449767444792e-05	1.363952e+00
7.165849767445016e-05	1.383025e+00
7.268249767445241e-05	1.402079e+00
7.370649767445465e-05	1.421114e+00
7.473049767445690e-05	1.440129e+00
7.575449767445915e-05	1.459125e+00
7.677849767446139e-05	1.478101e+00
7.780249767446364e-05	1.497057e+00
7.882649767446588e-05	1.515995e+00
7.985049767446813e-05	1.534913e+00
8.087449767447037e-05	1.553811e+00
8.189849767447262e-05	1.572690e+00
8.292249767447486e-05	1.591550e+00
8.394649767447711e-05	1.610391e+00
8.497049767447935e-05	1.629212e+00
8.599449767448160e-05	1.648014e+00
8.701849767448384e-05	1.666797e+00
8.804249767448609e-05	1.685561e+00
8.906649767448833e-05	1.704305e+00
9.009049767449058e-05	1.723030e+00
9.111449767449283e-05	1.741736e+00
9.213849767449507e-05	1.760423e+00
9.316249767449732e-05	1.779091e+00
9.418649767449956e-05	1.797740e+00
9.521049767450181e-05	1.816369e+00
9.623449767450405e-05	1.834980e+00
9.725849767450630e-05	1.853571e+00
9.828249767450854e-05	1.872144e+00
9.930649767451079e-05	1.890697e+00
1.003304976745130e-04	1.909232e+00
1.013544976745153e-04	1.927747e+00
1.023784976745175e-04	1.946244e+00
1.034024976745198e-04	1.964721e+00
1.044264976745220e-04	1.983180e+00
1.054504976745243e-04	2.001620e+00
1.064744976745265e-04	2.020041e+00
1.074984976745288e-04	2.038443e+00
1.085224976745310e-04	2.056826e+00
1.095464976745332e-04	2.075190e+00
1.105704976745355e-04	2.093536e+00
1.115944976745377e-04	2.111863e+00
1.126184976745400e-04	2.130171e+00
1.136424976745422e-04	2.148460e+00
1.146664976745445e-04	2.166731e+00
1.156904976745467e-04	2.184983e+00
1.167144976745490e-04	2.203216e+00
1.177384976745512e-04	2.221430e+00
1.187624976745534e-04	2.239626e+00
1.197864976745557e-04	2.257804e+00
1.208104976745579e-04	2.275962e+00
1.218344976745602e-04	2.294102e+00
1.228584976745517e-04	2.312224e+00
1.238824976745401e-04	2.330327e+00
1.249064976745285e-04	2.348412e+00
1.259304976745168e-04	2.366477e+00
1.269544976745052e-04	2.384525e+00
1.279784976744936e-04	2.402554e+00
1.290024976744819e-04	2.420565e+00
1.300264976744703e-04	2.438557e+00
1.310504976744587e-04	2.456530e+00
1.320744976744470e-04	2.474486e+00
1.330984976744354e-04	2.492423e+00
1.341224976744238e-04	2.510341e+00
1.351464976744121e-04	2.528242e+00
1.361704976744005e-04	2.546124e+00
1.371944976743889e-04	2.563987e+00
1.382184976743773e-04	2.581832e+00
1.392424976743656e-04	2.599659e+00
1.402664976743540e-04	2.617468e+00
1.412904976743424e-04	2.635259e+00
1.423144976743307e-04	2.653031e+00
1.433384976743191e-04	2.670785e+00
1.443624976743075e-04	2.688522e+00
1.453864976742958e-04	2.706239e+00
1.464104976742842e-04	2.723939e+00
1.474344976742726e-04	2.741621e+00
1.484584976742609e-04	2.759284e+00
1.494824976742493e-04	2.776930e+00
1.505064976742377e-04	2.794557e+00
1.515304976742260e-04	2.812166e+00
1.525544976742144e-04	2.829758e+00
1.535784976742028e-04	2.847331e+00
1.546024976741911e-04	2.864887e+00
1.556264976741795e-04	2.882424e+00
1.566504976741679e-04	2.899943e+00
1.576744976741562e-04	2.917445e+00
1.586984976741446e-04	2.934928e+00
1.597224976741330e-04	2.952394e+00
1.607464976741213e-04	2.969842e+00
1.617704976741097e-04	2.987272e+00
1.627944976740981e-04	3.004684e+00
1.638184976740864e-04	3.022078e+00
1.648424976740748e-04	3.039455e+00
1.658664976740632e-04	3.056813e+00
1.668904976740515e-04	3.074154e+00
1.679144976740399e-04	3.091478e+00
1.689384976740283e-04	3.108783e+00
1.699624976740166e-04	3.126071e+00
1.709864976740050e-04	3.143341e+00
1.720104976739934e-04	3.160593e+00
1.730344976739817e-04	3.177828e+00
1.740584976739701e-04	3.195045e+00
1.750824976739585e-04	3.212245e+00
1.761064976739469e-04	3.229426e+00
1.771304976739352e-04	3.246591e+00
1.781544976739236e-04	3.263737e+00
1.791784976739120e-04	3.280867e+00
1.802024976739003e-04	3.297978e+00
1.812264976738887e-04	3.315072e+00
1.822504976738771e-04	3.332149e+00
1.832744976738654e-04	3.349208e+00
1.842984976738538e-04	3.366250e+00
1.853224976738422e-04	3.383274e+00
1.863464976738305e-04	3.400281e+00
1.873704976738189e-04	3.417270e+00
1.883944976738073e-04	3.434242e+00
1.894184976737956e-04	3.451197e+00
1.904424976737840e-04	3.468134e+00
1.914664976737724e-04	3.485054e+00
1.924904976737607e-04	3.501957e+00
1.935144976737491e-04	3.518842e+00
1.945384976737375e-04	3.535710e+00
1.955624976737258e-04	3.552561e+00
1.965864976737142e-04	3.569395e+00
1.976104976737026e-04	3.586211e+00
1.986344976736909e-04	3.603010e+00
1.996584976736793e-04	3.619792e+00
2.006824976736677e-04	3.636557e+00
2.017064976736560e-04	3.653304e+00
2.027304976736444e-04	3.670035e+00
2.037544976736328e-04	3.686748e+00
2.047784976736211e-04	3.703444e+00
2.058024976736095e-04	3.720124e+00
2.068264976735979e-04	3.736786e+00
2.078504976735862e-04	3.753431e+00
2.088744976735746e-04	3.770058e+00
2.098984976735630e-04	3.786669e+00
2.109224976735513e-04	3.803263e+00
2.119464976735397e-04	3.819840e+00
2.129704976735281e-04	3.836401e+00
2.139944976735164e-04	3.852943e+00
2.150184976735048e-04	3.869470e+00
2.160424976734932e-04	3.885979e+00
2.170664976734816e-04	3.902471e+00
2.180904976734699e-04	3.918947e+00
2.191144976734583e-04	3.935405e+00
2.201384976734467e-04	3.951847e+00
2.211624976734350e-04	3.968272e+00
2.221864976734234e-04	3.984680e+00
2.232104976734118e-04	4.001071e+00
2.242344976734001e-04	4.017446e+00
2.252584976733885e-04	4.033803e+00
2.262824976733769e-04	4.050144e+00
2.273064976733652e-04	4.066469e+00
2.283304976733536e-04	4.082776e+00
2.293544976733420e-04	4.099067e+00
2.303784976733303e-04	4.115341e+00
2.314024976733187e-04	4.131599e+00
2.324264976733071e-04	4.147840e+00
2.334504976732954e-04	4.164064e+00
2.344744976732838e-04	4.180272e+00
2.354984976732722e-04	4.196463e+00
2.365224976732605e-04	4.212637e+00
2.375464976732489e-04	4.228796e+00
